Year,Name,Group,BlB,BlE,BleOC,BlMa,NBE,NBlB,NBlM,NBlOC,PBB,PBE,PBlOC,PBM,Black_corals,Soft_corals,Sponge,Algae,CCA,Turf,Sand,RockRub,,Total_coral,Other_inv,Total_algae,Bare_sub,,Bleached_coral,Partly_bleached_coral,Non_bleached_coral
2010,PA263346.JPG,1,0,1.063829787,21.27659574,0,28.72340426,3.191489362,0,0,0,15.95744681,1.063829787,0,0,0,1.063829787,1.063829787,14.89361702,10.63829787,0,1.063829787,,71.27659574,1.063829787,26.59574468,1.063829787,,22.34042553,17.0212766,31.91489362
2010,PA263347.JPG,2,0,0,0,0,1.063829787,1.063829787,0,0,0,2.127659574,3.191489362,0,0,0,0,9.574468085,64.89361702,18.08510638,0,0,,7.446808511,0,92.55319149,0,,0,5.319148936,2.127659574
2010,PA263348.JPG,3,0,3.225806452,1.612903226,0,4.838709677,1.612903226,0,0,0,3.225806452,1.612903226,0,0,0,0,6.451612903,45.16129032,32.25806452,0,0,,16.12903226,0,83.87096774,0,,4.838709677,4.838709677,6.451612903
2010,PA263349.JPG,4,0,0,7.936507937,0,14.28571429,1.587301587,0,1.587301587,3.174603175,0,0,0,0,0,0,1.587301587,49.20634921,14.28571429,0,6.349206349,,28.57142857,0,65.07936508,6.349206349,,7.936507937,3.174603175,17.46031746
2010,PA263350.JPG,5,0,2.43902439,19.51219512,0,0,2.43902439,0,0,12.19512195,0,2.43902439,0,0,0,0,0,36.58536585,12.19512195,0,12.19512195,,39.02439024,0,48.7804878,12.19512195,,21.95121951,14.63414634,2.43902439
2010,PA263351.JPG,6,0,1.785714286,8.928571429,0,0,3.571428571,0,5.357142857,0,0,1.785714286,0,0,0,1.785714286,0,53.57142857,17.85714286,0,5.357142857,,21.42857143,1.785714286,71.42857143,5.357142857,,10.71428571,1.785714286,8.928571429
2010,PA263352.JPG,7,0,0,39.13043478,0,0,0,0,0,0,0,13.04347826,0,0,0,0,0,32.60869565,15.2173913,0,0,,52.17391304,0,47.82608696,0,,39.13043478,13.04347826,0
2010,PA263353.JPG,8,0,0,0,0,0,0,0,0,0,0,29.41176471,0,0,0,0,0,50.58823529,20,0,0,,29.41176471,0,70.58823529,0,,0,29.41176471,0
2010,PA263354.JPG,9,0,0,10.22727273,0,1.136363636,10.22727273,0,1.136363636,0,2.272727273,0,0,0,0,0,2.272727273,50,22.72727273,0,0,,25,0,75,0,,10.22727273,2.272727273,12.5
2010,PA263355.JPG,10,0,0,3.092783505,0,0,7.216494845,0,2.06185567,0,0,2.06185567,0,0,0,0,0,65.97938144,19.58762887,0,0,,14.43298969,0,85.56701031,0,,3.092783505,2.06185567,9.278350515
2010,PA263356.JPG,11,0,0,4.210526316,0,0,25.26315789,0,0,0,0,0,0,0,0,0,2.105263158,54.73684211,13.68421053,0,0,,29.47368421,0,70.52631579,0,,4.210526316,0,25.26315789
