"","Cruise","Station","Day","Month","Year","Lat..deg.N.","Lon..deg.E.","Date_Num","Date","Depth","Temperature","X","X.1","X.2","day","month","year","season","Depth_sum"
"1","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,0,22.3019,"","",NA,29,1,2003,"winter","<3m"
"2","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,50,22.3149,"","",NA,29,1,2003,"winter","49.9-62m"
"3","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,100,22.3237,"","",NA,29,1,2003,"winter","99-161m"
"4","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,150,22.3328,"","",NA,29,1,2003,"winter","99-161m"
"5","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,200,22.3354,"","",NA,29,1,2003,"winter","175-760m"
"6","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,250,22.3418,"","",NA,29,1,2003,"winter","175-760m"
"7","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,290,21.4168,"","",NA,29,1,2003,"winter","175-760m"
"8","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,330,21.1276,"","",NA,29,1,2003,"winter","175-760m"
"9","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,400,21.0485,"","",NA,29,1,2003,"winter","175-760m"
"10","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,470,20.9917,"","",NA,29,1,2003,"winter","175-760m"
"11","NMP_03_1","A",29,1,2003,29.46666667,34.92916667,37650,2003-01-29,570,20.9373,"","",NA,29,1,2003,"winter","175-760m"
"12","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,0,21.9469,"","",NA,16,2,2003,"winter","<3m"
"13","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,20,21.9594,"","",NA,16,2,2003,"winter","7-21m"
"14","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,40.2,21.9737,"","",NA,16,2,2003,"winter","38-41m"
"15","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,59.6,21.9796,"","",NA,16,2,2003,"winter","49.9-62m"
"16","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,79.6,21.9827,"","",NA,16,2,2003,"winter","70-90m"
"17","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,100.6,21.9852,"","",NA,16,2,2003,"winter","99-161m"
"18","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,152.9,21.9955,"","",NA,16,2,2003,"winter","99-161m"
"19","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,199.6,22.005,"","",NA,16,2,2003,"winter","175-760m"
"20","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,249.8,21.9945,"","",NA,16,2,2003,"winter","175-760m"
"21","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,274.5,21.6997,"","",NA,16,2,2003,"winter","175-760m"
"22","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,299.1,21.1701,"","",NA,16,2,2003,"winter","175-760m"
"23","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,350.4,21.0991,"","",NA,16,2,2003,"winter","175-760m"
"24","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,399.6,21.0475,"","",NA,16,2,2003,"winter","175-760m"
"25","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,449.5,21.0117,"","",NA,16,2,2003,"winter","175-760m"
"26","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,498.4,20.9799,"","",NA,16,2,2003,"winter","175-760m"
"27","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,549,20.9361,"","",NA,16,2,2003,"winter","175-760m"
"28","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,600.8,20.9032,"","",NA,16,2,2003,"winter","175-760m"
"29","NMP_03_2","A",16,2,2003,29.46666667,34.92916667,37668,2003-02-16,677.8,20.8834,"","",NA,16,2,2003,"winter","175-760m"
"30","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,0.9,21.4949,"","",NA,20,3,2003,"spring","<3m"
"31","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,19.3,21.4814,"","",NA,20,3,2003,"spring","7-21m"
"32","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,49.9,21.481,"","",NA,20,3,2003,"spring","49.9-62m"
"33","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,80.3,21.4862,"","",NA,20,3,2003,"spring","70-90m"
"34","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,99.2,21.4902,"","",NA,20,3,2003,"spring","99-161m"
"35","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,139.9,21.5,"","",NA,20,3,2003,"spring","99-161m"
"36","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,200.5,21.5125,"","",NA,20,3,2003,"spring","175-760m"
"37","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,249.8,21.5226,"","",NA,20,3,2003,"spring","175-760m"
"38","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,298,21.5287,"","",NA,20,3,2003,"spring","175-760m"
"39","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,350,21.5376,"","",NA,20,3,2003,"spring","175-760m"
"40","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,393,21.5341,"","",NA,20,3,2003,"spring","175-760m"
"41","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,416,21.2687,"","",NA,20,3,2003,"spring","175-760m"
"42","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,433,21.1315,"","",NA,20,3,2003,"spring","175-760m"
"43","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,498,21.0281,"","",NA,20,3,2003,"spring","175-760m"
"44","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,600,20.9583,"","",NA,20,3,2003,"spring","175-760m"
"45","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,640,20.925,"","",NA,20,3,2003,"spring","175-760m"
"46","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,661,20.9206,"","",NA,20,3,2003,"spring","175-760m"
"47","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,680,20.8882,"","",NA,20,3,2003,"spring","175-760m"
"48","NMP_03_3","A",20,3,2003,29.46666667,34.92916667,37700,2003-03-20,680.6,20.8882,"","",NA,20,3,2003,"spring","175-760m"
"49","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,1,21.4556,"","",NA,13,4,2003,"spring","<3m"
"50","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,20,21.4437,"","",NA,13,4,2003,"spring","7-21m"
"51","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,40,21.4326,"","",NA,13,4,2003,"spring","38-41m"
"52","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,50,21.4285,"","",NA,13,4,2003,"spring","49.9-62m"
"53","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,60,21.3953,"","",NA,13,4,2003,"spring","49.9-62m"
"54","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,80,21.3659,"","",NA,13,4,2003,"spring","70-90m"
"55","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,100,21.3678,"","",NA,13,4,2003,"spring","99-161m"
"56","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,150,21.3752,"","",NA,13,4,2003,"spring","99-161m"
"57","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,200,21.3635,"","",NA,13,4,2003,"spring","175-760m"
"58","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,250,21.368,"","",NA,13,4,2003,"spring","175-760m"
"59","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,300,21.377,"","",NA,13,4,2003,"spring","175-760m"
"60","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,358,21.3408,"","",NA,13,4,2003,"spring","175-760m"
"61","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,400,21.1166,"","",NA,13,4,2003,"spring","175-760m"
"62","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,420,21.0274,"","",NA,13,4,2003,"spring","175-760m"
"63","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,450,20.9905,"","",NA,13,4,2003,"spring","175-760m"
"64","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,500,20.9726,"","",NA,13,4,2003,"spring","175-760m"
"65","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,600,20.9468,"","",NA,13,4,2003,"spring","175-760m"
"66","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,650,20.9403,"","",NA,13,4,2003,"spring","175-760m"
"67","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,700,20.9354,"","",NA,13,4,2003,"spring","175-760m"
"68","NMP_03_4","A",13,4,2003,29.46666667,34.92916667,37724,2003-04-13,723,20.9351,"","",NA,13,4,2003,"spring","175-760m"
"69","NMP_03_5","A",11,5,2003,29.46666667,34.92916667,37752,2003-05-11,0,22.8877,"","",NA,11,5,2003,"spring","<3m"
"70","NMP_03_5","A",11,5,2003,29.46666667,34.92916667,37752,2003-05-11,20,22.443,"","",NA,11,5,2003,"spring","7-21m"
